,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,MEAN,VAR
C1,373.8625026,365.6370418,363.6772532,360.6415448,367.4846982,362.4997576,363.5679697,362.3532947,369.3348341,360.2895763,364.6779777,365.1197541,374.0549729,374.1000718,374.9936887,362.3707936,369.4141239,363.422549,374.1354308,371.7974029,361.8656138,365.5928875,363.2975724,362.5410448,363.7625436,388.1469427,362.0476296,364.2285166,359.6152072,372.5764366,366.9036544,38.92838302
C2,458.0703423,452.2484519,459.5718827,469.9175919,469.9874826,468.6347364,462.0031844,464.4025613,467.3689792,470.3108843,449.4595065,463.1938547,471.3208507,457.5082923,453.350779,470.3928839,461.2513684,452.5807395,459.9491614,425.5569485,468.3234956,462.9208702,469.0740003,458.4830493,469.1052815,462.8461608,456.5661715,459.5779127,466.875501,468.7571833,461.6536703,85.47778114
RC1,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,1.33704E-26
RC2,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,518.4993134,1.33704E-26
R1,592.7798025,631.7833286,600.7530011,595.4168614,589.6959622,623.1913414,591.2450481,590.4835094,623.5837234,580.0334779,630.4974407,622.6056915,608.3434197,628.6930941,591.86916,601.1807018,631.5681857,591.947127,597.5919066,591.9973126,590.8119447,616.6799148,603.3857491,612.2579069,604.6186858,607.1777388,599.9104032,587.7901528,596.0702205,585.3321603,603.9764991,237.4219743
R2,583.3161514,585.3908189,586.6267093,585.7953417,599.0276482,574.1736378,587.3947456,586.2703297,565.6854183,590.6064589,583.0125531,591.1901515,584.4639544,580.0503444,597.8889346,592.3496924,592.8211601,562.7123354,594.4894984,596.3128799,592.897227,584.9174192,588.9991391,585.8581537,585.836184,586.9030715,591.3659534,583.5813217,594.2764661,591.0517078,586.8421802,66.96737246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC1,Config1,Config2,Config3,Config4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exec1,518.4993134,518.4993134,518.4993134,518.4993134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exec2,518.4993134,518.4993134,518.4993134,518.4993134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exec3,518.4993134,518.4993134,518.4993134,518.4993134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exec4,518.4993134,518.4993134,518.4993134,518.4993134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exec5,518.4993134,518.4993134,518.4993134,518.4993134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exec6,518.4993134,518.4993134,518.4993134,518.4993134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exec7,518.4993134,518.4993134,518.4993134,518.4993134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exec8,518.4993134,518.4993134,518.4993134,518.4993134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exec9,518.4993134,518.4993134,518.4993134,518.4993134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exec10,518.4993134,518.4993134,518.4993134,518.4993134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
