Problem,Local Search Type,Result
C101,10LS,373.862502602481
C201,10LS,458.070342302793
RC101,10LS,518.499313410566
RC201,10LS,518.499313410566
R101,10LS,592.779802544749
R201,10LS,583.316151364901
C101,0LS,374.195567116307
C201,0LS,471.352427417239
RC101,0LS,519.296443075071
RC201,0LS,519.142079746119
R101,0LS,632.71204014889
R201,0LS,611.189468455392
C101,2LS,360.440333513331
C201,2LS,469.740422300354
RC101,2LS,518.499313410566
RC201,2LS,518.499313410566
R101,2LS,636.420312853299
R201,2LS,597.039087575352
C101,20p10LS,370.893301773191
C201,20p10LS,463.585533474211
RC101,20p10LS,519.142079746119
RC201,20p10LS,519.161960971946
R101,20p10LS,599.236769845864
R201,20p10LS,616.274929560036
C101,10LS,365.63704182848
C201,10LS,452.248451879101
RC101,10LS,518.499313410566
RC201,10LS,518.499313410566
R101,10LS,631.783328611641
R201,10LS,585.390818895431
C101,0LS,368.336457992995
C201,0LS,472.302449126204
RC101,0LS,518.499313410566
RC201,0LS,518.499313410566
R101,0LS,617.723705525147
R201,0LS,581.418808323653
C101,2LS,363.521901556248
C201,2LS,470.833144839169
RC101,2LS,519.296443075071
RC201,2LS,518.499313410566
R101,2LS,613.481672600781
R201,2LS,598.752972822149
C101,20p10LS,374.938787131726
C201,20p10LS,469.503097515915
RC101,20p10LS,519.142079746119
RC201,20p10LS,519.142079746119
R101,20p10LS,619.390061218591
R201,20p10LS,590.477837158249
C101,10LS,363.677253207493
C201,10LS,459.571882745724
RC101,10LS,518.499313410566
RC201,10LS,518.499313410566
R101,10LS,600.753001054127
R201,10LS,586.626709255881
C101,0LS,387.262075818731
C201,0LS,478.168874592491
RC101,0LS,519.939209410623
RC201,0LS,519.142079746119
R101,0LS,625.046688126607
R201,0LS,609.286099479519
C101,2LS,367.854990283961
C201,2LS,474.439125192605
RC101,2LS,518.499313410566
RC201,2LS,518.499313410566
R101,2LS,629.862817099249
R201,2LS,593.552784901361
C101,20p10LS,373.601533721093
C201,20p10LS,479.680684166889
RC101,20p10LS,519.142079746119
RC201,20p10LS,519.939209410623
R101,20p10LS,635.208822135882
R201,20p10LS,564.751389251418
C101,10LS,360.64154478825
C201,10LS,469.917591939248
RC101,10LS,518.499313410566
RC201,10LS,518.499313410566
R101,10LS,595.416861361696
R201,10LS,585.795341691836
C101,0LS,373.481089264317
C201,0LS,473.769709719256
RC101,0LS,518.499313410566
RC201,0LS,518.499313410566
R101,0LS,611.086404760145
R201,0LS,578.198205200318
C101,2LS,362.779047626488
C201,2LS,464.231924596292
RC101,2LS,519.142079746119
RC201,2LS,519.142079746119
R101,2LS,604.962374893823
R201,2LS,589.612923284904
C101,20p10LS,384.096365119467
C201,20p10LS,473.39436794346
RC101,20p10LS,519.939209410623
RC201,20p10LS,520.16240600085
R101,20p10LS,622.828955778484
R201,20p10LS,595.137706654597
C101,10LS,367.484698202117
C201,10LS,469.987482611909
RC101,10LS,518.499313410566
RC201,10LS,518.499313410566
R101,10LS,589.695962228628
R201,10LS,599.027648249956
C101,0LS,372.9880446226
C201,0LS,482.735704999652
RC101,0LS,518.499313410566
RC201,0LS,519.142079746119
R101,0LS,611.863444502454
R201,0LS,614.203510470123
C101,2LS,373.684732094365
C201,2LS,465.815564897785
RC101,2LS,518.499313410566
RC201,2LS,518.499313410566
R101,2LS,616.940962133931
R201,2LS,594.469958611357
C101,20p10LS,375.529128490491
C201,20p10LS,461.581824771391
RC101,20p10LS,519.142079746119
RC201,20p10LS,519.142079746119
R101,20p10LS,621.158402477659
R201,20p10LS,599.102820855795
C101,10LS,362.49975760434
C201,10LS,468.634736357639
RC101,10LS,518.499313410566
RC201,10LS,518.499313410566
R101,10LS,623.191341359847
R201,10LS,574.173637752914
C101,0LS,368.972731494459
C201,0LS,450.433730285868
RC101,0LS,518.499313410566
RC201,0LS,518.499313410566
R101,0LS,636.77129336012
R201,0LS,583.981932521359
C101,2LS,367.155184827585
C201,2LS,471.954427422815
RC101,2LS,519.142079746119
RC201,2LS,519.939209410623
R101,2LS,597.710368784056
R201,2LS,597.423705106508
C101,20p10LS,371.308419335552
C201,20p10LS,464.72289986836
RC101,20p10LS,519.142079746119
RC201,20p10LS,518.499313410566
R101,20p10LS,624.00168643849
R201,20p10LS,601.151926876781
C101,10LS,363.567969677602
C201,10LS,462.003184392269
RC101,10LS,518.499313410566
RC201,10LS,518.499313410566
R101,10LS,591.245048056469
R201,10LS,587.394745626185
C101,0LS,376.736654770477
C201,0LS,464.804347019317
RC101,0LS,518.499313410566
RC201,0LS,519.296443075071
R101,0LS,639.380871872155
R201,0LS,599.799077371015
C101,2LS,363.677253207493
C201,2LS,471.65071768074
RC101,2LS,519.142079746119
RC201,2LS,518.499313410566
R101,2LS,589.785074015376
R201,2LS,593.542940630207
C101,20p10LS,373.358067489651
C201,20p10LS,479.230128750069
RC101,20p10LS,518.499313410566
RC201,20p10LS,519.909665120078
R101,20p10LS,598.059755527842
R201,20p10LS,605.439396132046
C101,10LS,362.353294748133
C201,10LS,464.402561346342
RC101,10LS,518.499313410566
RC201,10LS,518.499313410566
R101,10LS,590.483509372913
R201,10LS,586.270329714121
C101,0LS,377.146686189248
C201,0LS,476.393960674072
RC101,0LS,519.939209410623
RC201,0LS,519.296443075071
R101,0LS,627.068808388017
R201,0LS,586.070229296729
C101,2LS,361.642737911568
C201,2LS,464.1741092436
RC101,2LS,519.142079746119
RC201,2LS,518.499313410566
R101,2LS,600.339985497162
R201,2LS,592.767551028367
C101,20p10LS,368.506689905696
C201,20p10LS,465.600448665501
RC101,20p10LS,519.296443075071
RC201,20p10LS,519.142079746119
R101,20p10LS,603.890039452293
R201,20p10LS,603.798674951526
C101,10LS,369.33483408052
C201,10LS,467.36897922001
RC101,10LS,518.499313410566
RC201,10LS,518.499313410566
R101,10LS,623.583723401088
R201,10LS,565.685418335697
C101,0LS,386.194025553018
C201,0LS,484.149616358551
RC101,0LS,519.142079746119
RC201,0LS,518.499313410566
R101,0LS,635.967251673978
R201,0LS,581.580006741197
C101,2LS,370.702506257972
C201,2LS,462.087192390779
RC101,2LS,518.499313410566
RC201,2LS,518.499313410566
R101,2LS,631.468698024619
R201,2LS,599.336367356085
C101,20p10LS,378.274160848338
C201,20p10LS,458.765889561432
RC101,20p10LS,519.142079746119
RC201,20p10LS,518.499313410566
R101,20p10LS,628.099026128488
R201,20p10LS,585.234446770645
C101,10LS,360.289576340005
C201,10LS,470.310884272135
RC101,10LS,518.499313410566
RC201,10LS,518.499313410566
R101,10LS,580.033477871231
R201,10LS,590.606458936088
C101,0LS,375.182551844184
C201,0LS,470.265052753791
RC101,0LS,518.499313410566
RC201,0LS,518.499313410566
R101,0LS,606.221970521338
R201,0LS,602.993078489594
C101,2LS,362.880472171844
C201,2LS,460.726498440092
RC101,2LS,518.499313410566
RC201,2LS,518.499313410566
R101,2LS,616.198126618382
R201,2LS,584.146689048892
C101,20p10LS,373.61896619576
C201,20p10LS,466.617010139627
RC101,20p10LS,518.499313410566
RC201,20p10LS,519.296443075071
R101,20p10LS,604.328909033266
R201,20p10LS,611.042529007186
